No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
0.5,0.45,0,0,0.27,0.012,3
0.75,0.35,0,0,0.27,0.013,3
0.75,0.39,0,0,0.28,0.01,2
0.75,0.18,0,0,0.26,0.015,3
0.5,0.45,0,1,0.37,0.04,3
0.75,0.41,0,1,0.3,0.014,3
0.25,0.18,0,0,0.39,0.028,2
0.25,0.18,0,0,0.37,0.014,3
0.75,0.33,0,1,0.22,0.013,3
0.25,0.18,0,0,0.42,0.024,2
0.5,0.32,0,0,0.32,0.025,3
0.75,0.23,0,0,0.15,0.006,3
0.25,0.37,0,0,0.34,0.011,3
0.5,0.36,0,1,0.07,0.005,4
0.75,0.41,0,1,0.4,0.046,3
0.25,0.28,0,1,0.49,0.02,3
0.25,0.24,0,0,0.31,0.009,3
0.25,0.18,0,0,0.37,0.018,3
0.75,0.26,0,0,0.35,0.019,3
0.5,0.29,0,0,0.21,0.006,3
0.75,0.32,0,0,0.32,0.024,3
0.25,0.48,0,1,0.29,0.01,3
0.5,0.18,0,0,0.37,0.031,3
0.5,0.18,0,1,0.34,0.039,2
0.5,0.18,0,1,0.33,0.034,2
0.75,0.36,0,0,0.23,0.013,2
